4.276000e+08	  3	  3000	  2577	2.128569932687691e-03	1.778279410038919e+02	4.522687962694235e+01
4.277000e+08	  3	  3000	   534	1.730635623310080e-03	1.778279410038919e+02	4.527981319131275e+01
4.278000e+08	  3	  3000	   353	1.298072806209418e-03	1.778279410038919e+02	4.533268390260514e+01
4.279000e+08	  3	  3000	   883	1.762623312569674e-03	1.778279410038919e+02	4.538537050004501e+01
4.280000e+08	  3	  3000	    65	1.434801171186038e-03	1.778279410038919e+02	4.543809067832947e+01
4.281000e+08	  3	  3000	   237	9.487716184150529e-04	1.778279410038919e+02	4.549034373164655e+01
4.282000e+08	  3	  3000	   716	1.888059108955142e-03	1.778279410038919e+02	4.554313677707894e+01
4.283000e+08	  3	  3000	   722	2.041211982716557e-03	1.778279410038919e+02	4.559595239541478e+01
4.284000e+08	  3	  3000	  2572	1.799123107057291e-03	1.778279410038919e+02	4.564874723867873e+01
4.285000e+08	  3	  3000	  2496	1.877362429226573e-03	1.778279410038919e+02	4.570089109961897e+01
4.286000e+08	  3	  3000	   496	1.255708225238368e-03	1.778279410038919e+02	4.575359609606843e+01
4.287000e+08	  3	  3000	  1694	1.596666786626669e-03	1.778279410038919e+02	4.580455996557199e+01
4.288000e+08	  3	  3000	  1533	1.380678148036061e-03	1.778279410038919e+02	4.585683623327168e+01
4.289000e+08	  3	  3000	   822	1.788801482739436e-03	1.778279410038919e+02	4.590963559633181e+01
4.290000e+08	  3	  3000	  1485	1.421739574941325e-03	1.778279410038919e+02	4.596250805614613e+01
4.291000e+08	  3	  3000	  2591	1.926393498086913e-03	1.778279410038919e+02	4.601540344505941e+01
4.292000e+08	  3	  3000	   204	1.661737617502247e-03	1.778279410038919e+02	4.606801537197148e+01
4.293000e+08	  3	  3000	  2667	1.432927830952033e-03	1.778279410038919e+02	4.612076774036422e+01
4.294000e+08	  3	  3000	  1091	1.408345709320446e-03	1.778279410038919e+02	4.617298854263348e+01
4.295000e+08	  3	  3000	  2437	1.547618151448360e-03	1.778279410038919e+02	4.622580987281612e+01
4.296000e+08	  3	  3000	  2611	1.554749061619069e-03	1.778279410038919e+02	4.627869815415013e+01
4.297000e+08	  3	  3000	  1134	2.048687949474113e-03	1.778279410038919e+02	4.633158104596323e+01
4.298000e+08	  3	  3000	     3	1.036466811781487e-05	1.778279410038919e+02	4.638372597204740e+01
collision No.62	2.242566e+02[yr]	i=3, j=718	r_ij=6.334104397947004e-05	radius[3]+radius[718]=6.338481524341289e-05
4.299000e+08	  3	  3000	  2680	1.265385492977154e-03	1.778279410038919e+02	4.643495072366316e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.300000e+08	  3	  3000	  2021	1.439603623681568e-03	1.778279410038919e+02	4.648708892910543e+01
4.301000e+08	  3	  3000	   638	1.213285718464417e-03	1.778279410038919e+02	4.653990015458493e+01
4.302000e+08	  3	  3000	   489	1.438407173939884e-03	1.778279410038919e+02	4.659227428126037e+01
4.303000e+08	  3	  3000	  2159	1.339901785552033e-03	1.778279410038919e+02	4.664285322138416e+01
4.304000e+08	  3	  3000	   629	1.642345680004122e-03	1.778279410038919e+02	4.669548223559549e+01
4.305000e+08	  3	  3000	   718	1.741204955763078e-03	1.778279410038919e+02	4.674823551505400e+01
4.306000e+08	  3	  3000	  2751	1.981644046653117e-03	1.778279410038919e+02	4.679936236618624e+01
4.307000e+08	  3	  3000	   513	1.440485274502802e-03	1.778279410038919e+02	4.685207490083704e+01
4.308000e+08	  3	  3000	  2834	1.563154632254416e-03	1.778279410038919e+02	4.690427361478620e+01
4.309000e+08	  3	  3000	   957	1.631222994200086e-03	1.778279410038919e+02	4.695659365545109e+01
4.310000e+08	  3	  3000	  1408	1.826280835008342e-03	1.778279410038919e+02	4.700931946859130e+01
4.311000e+08	  3	  3000	  2872	1.589975516766004e-03	1.778279410038919e+02	4.706209117700485e+01
4.312000e+08	  3	  3000	  1757	1.462054471444103e-03	1.778279410038919e+02	4.711480702199567e+01
4.313000e+08	  3	  3000	   546	1.310122826501033e-03	1.778279410038919e+02	4.716593317374909e+01
4.314000e+08	  3	  3000	  1595	1.698694884309576e-03	1.778279410038919e+02	4.721810126446503e+01
4.315000e+08	  3	  3000	  1075	1.395221300144806e-03	1.778279410038919e+02	4.726889151417632e+01
4.316000e+08	  3	  3000	   833	1.751124863523256e-03	1.778279410038919e+02	4.732158775510450e+01
4.317000e+08	  3	  3000	  2927	1.541284568436420e-03	1.778279410038919e+02	4.737453388442857e+01
4.318000e+08	  3	  3000	  1655	1.763048201213012e-03	1.778279410038919e+02	4.742740525274884e+01
4.319000e+08	  3	  3000	  2329	1.866142832088349e-03	1.778279410038919e+02	4.748000006881490e+01
4.320000e+08	  3	  3000	   348	1.323062777084693e-03	1.778279410038919e+02	4.753296572564384e+01
4.321000e+08	  3	  3000	  1245	1.541913678988422e-03	1.778279410038919e+02	4.758451776547397e+01
4.322000e+08	  3	  3000	  2190	1.636821476853611e-03	1.778279410038919e+02	4.763723808601409e+01
4.323000e+08	  3	  3000	  1749	1.440699833668902e-03	1.778279410038919e+02	4.768960706174762e+01
4.324000e+08	  3	  3000	  2657	1.578627095655952e-03	1.778279410038919e+02	4.774219646010224e+01
4.325000e+08	  3	  3000	  2882	1.609039984878936e-03	1.778279410038919e+02	4.779373509972297e+01
4.326000e+08	  3	  3000	  1466	1.607910361500482e-03	1.778279410038919e+02	4.784586867417006e+01
4.327000e+08	  3	  3000	   567	1.360366983207031e-03	1.778279410038919e+02	4.789820292008046e+01
4.328000e+08	  3	  3000	  2031	1.196795665835452e-03	1.778279410038919e+02	4.795083105790699e+01
4.329000e+08	  3	  3000	  1028	1.551084614213564e-03	1.778279410038919e+02	4.800301162721878e+01
4.330000e+08	  3	  3000	  1293	1.646575351040447e-03	1.778279410038919e+02	4.805588829148138e+01
4.331000e+08	  3	  3000	   112	1.033161301113308e-03	1.778279410038919e+02	4.810886272060239e+01
4.332000e+08	  3	  3000	  2946	1.704464387010859e-03	1.778279410038919e+02	4.816103711957636e+01
4.333000e+08	  3	  3000	  2374	1.959684521807226e-03	1.778279410038919e+02	4.821342038575697e+01
4.334000e+08	  3	  3000	  1484	1.376431093946363e-03	1.778279410038919e+02	4.826602718376924e+01
4.335000e+08	  3	  3000	  1037	1.168664412405107e-03	1.778279410038919e+02	4.831902139565541e+01
4.336000e+08	  3	  3000	   925	2.152041205107728e-03	1.778279410038919e+02	4.837188563237036e+01
4.337000e+08	  3	  3000	  2356	1.780667823628501e-03	1.778279410038919e+02	4.842398518228547e+01
4.338000e+08	  3	  3000	   709	1.870057819355110e-03	1.778279410038919e+02	4.847643685073005e+01
4.339000e+08	  3	  3000	  2907	1.802241749480610e-03	1.778279410038919e+02	4.852905308876583e+01
4.340000e+08	  3	  3000	  1848	1.485162114221231e-03	1.778279410038919e+02	4.858069108924379e+01
4.341000e+08	  3	  3000	   426	1.893772693240357e-03	1.778279410038919e+02	4.863341877604844e+01
4.342000e+08	  3	  3000	  1081	1.419984055961071e-03	1.778279410038919e+02	4.868553344962871e+01
4.343000e+08	  3	  3000	   352	1.361094942860666e-03	1.778279410038919e+02	4.873768933454367e+01
4.344000e+08	  3	  3000	   432	2.076313353264130e-03	1.778279410038919e+02	4.879035993945367e+01
4.345000e+08	  3	  3000	  2894	1.596089458336729e-03	1.778279410038919e+02	4.884322098487154e+01
4.346000e+08	  3	  3000	  1374	1.250144029811254e-03	1.778279410038919e+02	4.889609666022411e+01
4.347000e+08	  3	  3000	  2241	1.141107552578958e-03	1.778279410038919e+02	4.894873120372353e+01
4.348000e+08	  3	  3000	   367	1.142516220189682e-03	1.778279410038919e+02	4.900168529632376e+01
4.349000e+08	  3	  3000	  1578	2.124708657468516e-03	1.778279410038919e+02	4.905463780056894e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.350000e+08	  3	  3000	  2250	1.856778215267778e-03	1.778279410038919e+02	4.910754942760052e+01
4.351000e+08	  3	  3000	   130	2.055501874161765e-03	1.778279410038919e+02	4.915992891628973e+01
4.352000e+08	  3	  3000	   144	1.540667200453741e-03	1.778279410038919e+02	4.921227488823457e+01
4.353000e+08	  3	  3000	  2305	1.494287010940261e-03	1.778279410038919e+02	4.926434250863152e+01
4.354000e+08	  3	  3000	   372	1.014540921315186e-03	1.778279410038919e+02	4.931643228733009e+01
4.355000e+08	  3	  3000	   391	1.562022654886099e-03	1.778279410038919e+02	4.936681921732775e+01
4.356000e+08	  3	  3000	   299	1.899796762547458e-03	1.778279410038919e+02	4.941879766234508e+01
4.357000e+08	  3	  3000	   514	1.510999880936235e-03	1.778279410038919e+02	4.947157154958576e+01
4.358000e+08	  3	  3000	   390	1.383972389476229e-03	1.778279410038919e+02	4.952440422355663e+01
4.359000e+08	  3	  3000	   341	1.705336159110574e-03	1.778279410038919e+02	4.957724803451932e+01
4.360000e+08	  3	  3000	  1825	1.307791002721179e-03	1.778279410038919e+02	4.962995549408429e+01
4.361000e+08	  3	  3000	  1515	1.284853988014918e-03	1.778279410038919e+02	4.968159526663646e+01
4.362000e+08	  3	  3000	  2816	1.861261608519420e-03	1.778279410038919e+02	4.973440213864423e+01
4.363000e+08	  3	  3000	  2112	1.851871487781480e-03	1.778279410038919e+02	4.978728436964028e+01
4.364000e+08	  3	  3000	  1879	1.759571362631567e-03	1.778279410038919e+02	4.984012341049901e+01
4.365000e+08	  3	  3000	   189	1.190853767050773e-03	1.778279410038919e+02	4.989260976226450e+01
4.366000e+08	  3	  3000	  1889	1.693835836584021e-03	1.778279410038919e+02	4.994544304156585e+01
4.367000e+08	  3	  3000	    47	1.311568975472364e-03	1.778279410038919e+02	4.999829370585926e+01
4.368000e+08	  3	  3000	  2322	1.571203941398334e-03	1.778279410038919e+02	5.005112037013454e+01
4.369000e+08	  3	  3000	  1269	1.695851335659045e-03	1.778279410038919e+02	5.010392729483890e+01
4.370000e+08	  3	  3000	  1503	1.223552366921082e-03	1.778279410038919e+02	5.015635438599957e+01
4.371000e+08	  3	  3000	  2371	1.789116081346915e-03	1.778279410038919e+02	5.020919562064399e+01
4.372000e+08	  3	  3000	  1562	1.622440097621713e-03	1.778279410038919e+02	5.026211053180584e+01
4.373000e+08	  3	  3000	   482	1.350409360852380e-03	1.778279410038919e+02	5.031500318944457e+01
4.374000e+08	  3	  3000	  1577	9.979166331795597e-04	1.778279410038919e+02	5.036732454519084e+01
4.375000e+08	  3	  3000	  2666	1.333018588588028e-03	1.778279410038919e+02	5.042025607323346e+01
4.376000e+08	  3	  3000	  2460	1.549837555161315e-03	1.778279410038919e+02	5.047323764447107e+01
4.377000e+08	  3	  3000	   412	1.430350985304530e-03	1.778279410038919e+02	5.052612712560937e+01
4.378000e+08	  3	  3000	  1873	1.377542298225029e-03	1.778279410038919e+02	5.057886750264281e+01
4.379000e+08	  3	  3000	   366	1.130828252685093e-03	1.778279410038919e+02	5.062909421956017e+01
4.380000e+08	  3	  3000	  1338	1.478887211165187e-03	1.778279410038919e+02	5.068183978361853e+01
4.381000e+08	  3	  3000	   531	1.686345248673445e-03	1.778279410038919e+02	5.073460761271350e+01
4.382000e+08	  3	  3000	  2869	1.212987563616607e-03	1.778279410038919e+02	5.078603657361521e+01
4.383000e+08	  3	  3000	  2310	1.163415400964532e-03	1.778279410038919e+02	5.083743097185054e+01
4.384000e+08	  3	  3000	    28	1.728778773516669e-03	1.778279410038919e+02	5.088927186633691e+01
4.385000e+08	  3	  3000	   438	1.031265024300262e-03	1.778279410038919e+02	5.094194983891268e+01
4.386000e+08	  3	  3000	  2357	1.293666154539269e-03	1.778279410038919e+02	5.099466605318677e+01
4.387000e+08	  3	  3000	   970	1.516700948079798e-03	1.778279410038919e+02	5.104748965071837e+01
4.388000e+08	  3	  3000	  1730	1.293352817676025e-03	1.778279410038919e+02	5.110041686765369e+01
4.389000e+08	  3	  3000	  1776	1.759514254375127e-03	1.778279410038919e+02	5.115165334356128e+01
collision No.63	2.290015e+02[yr]	i=3, j=2857	r_ij=6.332702340815731e-05	radius[3]+radius[2857]=6.338481524341289e-05
4.390000e+08	  3	  3000	  2736	1.517169097363240e-03	1.778279410038919e+02	5.120391291763546e+01
4.391000e+08	  3	  3000	  2413	1.080045738122728e-03	1.778279410038919e+02	5.125669140051376e+01
4.392000e+08	  3	  3000	  2604	1.566569191322073e-03	1.778279410038919e+02	5.130913033745401e+01
4.393000e+08	  3	  3000	   709	1.774316632895477e-03	1.778279410038919e+02	5.136025412180422e+01
4.394000e+08	  3	  3000	  2982	1.704486307834869e-03	1.778279410038919e+02	5.141085234975395e+01
4.395000e+08	  3	  3000	  1513	1.627830703428651e-03	1.778279410038919e+02	5.146340121350541e+01
4.396000e+08	  3	  3000	  2853	1.591816014568102e-03	1.778279410038919e+02	5.151459795669395e+01
4.397000e+08	  3	  3000	  2908	2.179056243307805e-03	1.778279410038919e+02	5.156726920386329e+01
4.398000e+08	  3	  3000	  1828	1.432515232558252e-03	1.778279410038919e+02	5.161871889223039e+01
4.399000e+08	  3	  3000	  2084	2.274449136784838e-03	1.778279410038919e+02	5.167139362858902e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.400000e+08	  3	  3000	  1345	1.657737034228886e-03	1.778279410038919e+02	5.172429427524184e+01
4.401000e+08	  3	  3000	  2008	1.839688214601462e-03	1.778279410038919e+02	5.177719064006486e+01
4.402000e+08	  3	  3000	  2247	1.674938868434980e-03	1.778279410038919e+02	5.182990033310050e+01
4.403000e+08	  3	  3000	  2475	1.132962995248677e-03	1.778279410038919e+02	5.188233267698963e+01
4.404000e+08	  3	  3000	  1130	1.674765730404628e-03	1.778279410038919e+02	5.193520146992301e+01
4.405000e+08	  3	  3000	  1796	2.061707063052376e-03	1.778279410038919e+02	5.198789025257264e+01
4.406000e+08	  3	  3000	  1685	1.802230083583160e-03	1.778279410038919e+02	5.204076378010028e+01
4.407000e+08	  3	  3000	   991	1.066753380976299e-03	1.778279410038919e+02	5.209349400526262e+01
4.408000e+08	  3	  3000	  1278	1.556647534271736e-03	1.778279410038919e+02	5.214580993642511e+01
4.409000e+08	  3	  3000	  2901	1.461016775573097e-03	1.778279410038919e+02	5.219849688363436e+01
4.410000e+08	  3	  3000	   689	1.392620529172900e-03	1.778279410038919e+02	5.225108091176416e+01
4.411000e+08	  3	  3000	  2954	1.626934140144941e-03	1.778279410038919e+02	5.230355288562055e+01
4.412000e+08	  3	  3000	   827	1.716068340780562e-03	1.778279410038919e+02	5.235619162462595e+01
4.413000e+08	  3	  3000	   456	1.586731073545497e-03	1.778279410038919e+02	5.240878352616087e+01
4.414000e+08	  3	  3000	  1374	1.406320590862812e-03	1.778279410038919e+02	5.246128014296181e+01
4.415000e+08	  3	  3000	  2551	1.666744499449383e-03	1.778279410038919e+02	5.251408708539408e+01
4.416000e+08	  3	  3000	  2958	1.520861096419179e-03	1.778279410038919e+02	5.256683313945800e+01
4.417000e+08	  3	  3000	  1709	1.712624442090332e-03	1.778279410038919e+02	5.261815387316287e+01
4.418000e+08	  3	  3000	  2746	1.174577887686409e-03	1.778279410038919e+02	5.267110045565674e+01
4.419000e+08	  3	  3000	   179	1.255090993122604e-03	1.778279410038919e+02	5.272371100993008e+01
4.420000e+08	  3	  3000	  1165	1.914056713250762e-03	1.778279410038919e+02	5.277656443857573e+01
4.421000e+08	  3	  3000	  2042	1.714282018324487e-03	1.778279410038919e+02	5.282916398960876e+01
4.422000e+08	  3	  3000	  2049	1.123422967054160e-03	1.778279410038919e+02	5.288197815937126e+01
4.423000e+08	  3	  3000	   406	1.392699948956606e-03	1.778279410038919e+02	5.293477669658805e+01
4.424000e+08	  3	  3000	  2865	2.141946226272010e-03	1.778279410038919e+02	5.298763958019754e+01
4.425000e+08	  3	  3000	   553	1.797701233291886e-03	1.778279410038919e+02	5.304022181979317e+01
4.426000e+08	  3	  3000	  2375	9.962694783424589e-04	1.778279410038919e+02	5.309284428315980e+01
4.427000e+08	  3	  3000	  1772	1.324118031912284e-03	1.778279410038919e+02	5.314540984275181e+01
4.428000e+08	  3	  3000	  1411	1.378627721867975e-03	1.778279410038919e+02	5.319682651251338e+01
4.429000e+08	  3	  3000	  2893	1.264213589983641e-03	1.778279410038919e+02	5.324899826016944e+01
4.430000e+08	  3	  3000	  2719	3.372952006986324e-06	1.778279410038919e+02	5.330017545779976e+01
4.431000e+08	  3	  3000	   599	2.607470478097706e-03	1.778279410038919e+02	5.335212354684725e+01
4.432000e+08	  3	  3000	  2443	1.651817023650404e-03	1.778279410038919e+02	5.340393516149661e+01
4.433000e+08	  3	  3000	   489	1.481669456888623e-03	1.778279410038919e+02	5.345665778187071e+01
4.434000e+08	  3	  3000	  2005	1.498130894170907e-03	1.778279410038919e+02	5.350658457886916e+01
4.435000e+08	  3	  3000	  1793	1.752715134965491e-03	1.778279410038919e+02	5.355923769457064e+01
4.436000e+08	  3	  3000	  2507	1.320498933277587e-03	1.778279410038919e+02	5.361172203429523e+01
4.437000e+08	  3	  3000	   822	1.775638743260831e-03	1.778279410038919e+02	5.366271258389612e+01
4.438000e+08	  3	  3000	  2138	1.484784641198721e-03	1.778279410038919e+02	5.371445370789262e+01
4.439000e+08	  3	  3000	  2231	1.481573082248043e-03	1.778279410038919e+02	5.376719694769938e+01
4.440000e+08	  3	  3000	  1414	1.958370915319154e-03	1.778279410038919e+02	5.381973774358632e+01
4.441000e+08	  3	  3000	  2955	1.948241049351930e-03	1.778279410038919e+02	5.387224917325798e+01
4.442000e+08	  3	  3000	  2507	1.583156347672478e-03	1.778279410038919e+02	5.392484847113555e+01
4.443000e+08	  3	  3000	   939	1.667408888059593e-03	1.778279410038919e+02	5.397750703459719e+01
4.444000e+08	  3	  3000	   696	2.590992858520594e-03	1.778279410038919e+02	5.403002779822675e+01
4.445000e+08	  3	  3000	   705	1.619038812753030e-03	1.778279410038919e+02	5.408285342556459e+01
4.446000e+08	  3	  3000	  2068	1.704706269258218e-03	1.778279410038919e+02	5.413537632416999e+01
4.447000e+08	  3	  3000	  2650	1.448073427665625e-03	1.778279410038919e+02	5.418715157487800e+01
4.448000e+08	  3	  3000	   328	1.052912383111959e-03	1.778279410038919e+02	5.423971852190694e+01
4.449000e+08	  3	  3000	  1372	1.277599519542110e-03	1.778279410038919e+02	5.429249246735216e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.450000e+08	  3	  3000	  2208	1.274835075117776e-03	1.778279410038919e+02	5.434494660943348e+01
4.451000e+08	  3	  3000	  1734	1.126113056365849e-03	1.778279410038919e+02	5.439777864025537e+01
4.452000e+08	  3	  3000	  1929	1.881059080656928e-03	1.778279410038919e+02	5.445056989105793e+01
4.453000e+08	  3	  3000	   576	1.537502246569600e-03	1.778279410038919e+02	5.450301974229959e+01
4.454000e+08	  3	  3000	  2715	2.004292209179987e-03	1.778279410038919e+02	5.455571669752910e+01
4.455000e+08	  3	  3000	  2047	1.519364790127417e-03	1.778279410038919e+02	5.460846278199866e+01
4.456000e+08	  3	  3000	   405	1.813305944001420e-03	1.778279410038919e+02	5.466112782620333e+01
4.457000e+08	  3	  3000	  2895	1.001416356990622e-03	1.778279410038919e+02	5.471353940760824e+01
4.458000e+08	  3	  3000	  1802	1.613059436232899e-03	1.778279410038919e+02	5.476554180586933e+01
4.459000e+08	  3	  3000	  2844	1.308017472116695e-03	1.778279410038919e+02	5.481820820373118e+01
4.460000e+08	  3	  3000	  1996	1.567984250898868e-03	1.778279410038919e+02	5.486983143097264e+01
4.461000e+08	  3	  3000	   424	1.571311328882268e-03	1.778279410038919e+02	5.492258543746505e+01
4.462000e+08	  3	  3000	  2075	1.261474062030157e-04	1.778279410038919e+02	5.497490998262986e+01
4.463000e+08	  3	  3000	   730	1.938064883444076e-03	1.778279410038919e+02	5.502725210829790e+01
4.464000e+08	  3	  3000	  1107	1.527230805321983e-03	1.778279410038919e+02	5.507962068937955e+01
4.465000e+08	  3	  3000	  1491	1.753586028459856e-03	1.778279410038919e+02	5.513231913990737e+01
4.466000e+08	  3	  3000	  1098	1.852285480836805e-03	1.778279410038919e+02	5.518476093712864e+01
4.467000e+08	  3	  3000	  2538	1.607309144463700e-03	1.778279410038919e+02	5.523716719311033e+01
4.468000e+08	  3	  3000	   721	1.967362504017337e-03	1.778279410038919e+02	5.528997385541197e+01
4.469000e+08	  3	  3000	  1770	1.513590944118410e-03	1.778279410038919e+02	5.534260589401588e+01
4.470000e+08	  3	  3000	  1369	1.495309048955020e-03	1.778279410038919e+02	5.539462147560739e+01
4.471000e+08	  3	  3000	   484	1.368307952492211e-03	1.778279410038919e+02	5.544610490087645e+01
4.472000e+08	  3	  3000	  1222	2.725270892154289e-03	1.778279410038919e+02	5.549885806032702e+01
4.473000e+08	  3	  3000	   567	1.468524604314452e-03	1.778279410038919e+02	5.555144034566710e+01
4.474000e+08	  3	  3000	  1699	1.204711636230525e-03	1.778279410038919e+02	5.560436925906557e+01
4.475000e+08	  3	  3000	   399	1.525230818613944e-03	1.778279410038919e+02	5.565724848905712e+01
4.476000e+08	  3	  3000	  1031	1.640138008149635e-03	1.778279410038919e+02	5.570965037981856e+01
4.477000e+08	  3	  3000	   820	1.192130272092531e-03	1.778279410038919e+02	5.576165795605630e+01
4.478000e+08	  3	  3000	     9	1.579969171036100e-03	1.778279410038919e+02	5.581435259780291e+01
4.479000e+08	  3	  3000	   754	1.765961169540970e-03	1.778279410038919e+02	5.586668957181406e+01
4.480000e+08	  3	  3000	   376	1.571130324265580e-03	1.778279410038919e+02	5.591917593244735e+01
4.481000e+08	  3	  3000	  1557	1.437055401968030e-03	1.778279410038919e+02	5.597111791761721e+01
4.482000e+08	  3	  3000	   366	1.135415093177292e-03	1.778279410038919e+02	5.602139039284053e+01
4.483000e+08	  3	  3000	   712	1.824044074463859e-03	1.778279410038919e+02	5.607357939325893e+01
4.484000e+08	  3	  3000	   529	1.561387682529538e-03	1.778279410038919e+02	5.612626943859049e+01
4.485000e+08	  3	  3000	  2876	1.035984823461880e-03	1.778279410038919e+02	5.617865616894461e+01
4.486000e+08	  3	  3000	  1619	1.964592972148922e-03	1.778279410038919e+02	5.623125603178708e+01
4.487000e+08	  3	  3000	   486	1.230853873824616e-03	1.778279410038919e+02	5.628338426610629e+01
4.488000e+08	  3	  3000	  1924	1.226639344256525e-03	1.778279410038919e+02	5.633604725677283e+01
4.489000e+08	  3	  3000	  1391	1.382255740219113e-03	1.778279410038919e+02	5.638868471470538e+01
4.490000e+08	  3	  3000	  2836	2.191760400108106e-03	1.778279410038919e+02	5.644147665614073e+01
4.491000e+08	  3	  3000	  2159	1.231124223870412e-03	1.778279410038919e+02	5.649418030248579e+01
4.492000e+08	  3	  3000	  2091	1.903719659531265e-03	1.778279410038919e+02	5.654670550389228e+01
4.493000e+08	  3	  3000	   321	2.083619939818613e-03	1.778279410038919e+02	5.659944579985472e+01
4.494000e+08	  3	  3000	   289	1.526263537336663e-03	1.778279410038919e+02	5.665110952820352e+01
4.495000e+08	  3	  3000	  1255	1.598310366705986e-03	1.778279410038919e+02	5.670353366530227e+01
4.496000e+08	  3	  3000	  1680	2.112292310871628e-03	1.778279410038919e+02	5.675634116238038e+01
4.497000e+08	  3	  3000	  1617	1.282163764104676e-03	1.778279410038919e+02	5.680905610444955e+01
4.498000e+08	  3	  3000	   834	9.955611008950875e-04	1.778279410038919e+02	5.686082477002980e+01
4.499000e+08	  3	  3000	  2486	1.820653434564372e-03	1.778279410038919e+02	5.691378128677809e+01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.500000e+08	  3	  3000	  2849	1.992894410478813e-03	1.778279410038919e+02	5.696673506597757e+01
4.501000e+08	  3	  3000	   434	2.098366553867624e-03	1.778279410038919e+02	5.701937124167203e+01
4.502000e+08	  3	  3000	   637	1.568651217847276e-03	1.778279410038919e+02	5.707194404108883e+01
4.503000e+08	  3	  3000	  1802	1.229907695720694e-03	1.778279410038919e+02	5.712473535096384e+01
4.504000e+08	  3	  3000	  2021	1.394129630587060e-03	1.778279410038919e+02	5.717519438429766e+01
4.505000e+08	  3	  3000	  1220	1.014881945678691e-03	1.778279410038919e+02	5.722702290785772e+01
4.506000e+08	  3	  3000	   995	1.242884050249674e-03	1.778279410038919e+02	5.727800211691165e+01
4.507000e+08	  3	  3000	  2542	2.041621034891954e-03	1.778279410038919e+02	5.732978952513398e+01
4.508000e+08	  3	  3000	   661	1.707900510388042e-03	1.778279410038919e+02	5.738208580835969e+01
4.509000e+08	  3	  3000	  2635	1.330613629071020e-03	1.778279410038919e+02	5.743467612360720e+01
4.510000e+08	  3	  3000	   776	1.452363554498432e-03	1.778279410038919e+02	5.748627142670834e+01
4.511000e+08	  3	  3000	   218	1.838026643779163e-03	1.778279410038919e+02	5.753869475773892e+01
4.512000e+08	  3	  3000	   901	1.545872031391848e-03	1.778279410038919e+02	5.759135605888897e+01
4.513000e+08	  3	  3000	   939	1.783743318024348e-03	1.778279410038919e+02	5.764412488597755e+01
4.514000e+08	  3	  3000	  2210	1.467711625415930e-03	1.778279410038919e+02	5.769689082018463e+01
4.515000e+08	  3	  3000	  1600	1.607399264396339e-03	1.778279410038919e+02	5.774928415495283e+01
4.516000e+08	  3	  3000	  1332	1.432653979681639e-03	1.778279410038919e+02	5.780212828883067e+01
4.517000e+08	  3	  3000	  1553	1.443978344120289e-03	1.778279410038919e+02	5.785507300154972e+01
4.518000e+08	  3	  3000	  2917	1.832143039777563e-03	1.778279410038919e+02	5.790792798302234e+01
4.519000e+08	  3	  3000	   925	1.845115021934784e-03	1.778279410038919e+02	5.796047750424939e+01
4.520000e+08	  3	  3000	  1848	1.247404248435381e-03	1.778279410038919e+02	5.801329979033957e+01
4.521000e+08	  3	  3000	  1509	1.811169808002878e-03	1.778279410038919e+02	5.806609394644401e+01
4.522000e+08	  3	  3000	  1039	1.412534115407117e-03	1.778279410038919e+02	5.811899134882692e+01
4.523000e+08	  3	  3000	  2094	1.867548783831103e-03	1.778279410038919e+02	5.817146921108682e+01
4.524000e+08	  3	  3000	  1528	1.487689791151858e-03	1.778279410038919e+02	5.822425675767684e+01
4.525000e+08	  3	  3000	  1005	2.050152287920762e-03	1.778279410038919e+02	5.827708667076150e+01
4.526000e+08	  3	  3000	  2559	1.699080253949214e-03	1.778279410038919e+02	5.832950790513137e+01
4.527000e+08	  3	  3000	  2749	2.026063919983753e-03	1.778279410038919e+02	5.838148111514148e+01
4.528000e+08	  3	  3000	  1780	2.052084071512663e-03	1.778279410038919e+02	5.843381726834545e+01
4.529000e+08	  3	  3000	  1860	1.569219045127592e-03	1.778279410038919e+02	5.848654806318292e+01
4.530000e+08	  3	  3000	   377	1.902742278997358e-03	1.778279410038919e+02	5.853901256896578e+01
4.531000e+08	  3	  3000	  2744	1.376924404304150e-03	1.778279410038919e+02	5.859164509526926e+01
4.532000e+08	  3	  3000	  1829	1.347517819546114e-03	1.778279410038919e+02	5.864388062382067e+01
4.533000e+08	  3	  3000	  2155	1.444460853096939e-03	1.778279410038919e+02	5.869654942176178e+01
4.534000e+08	  3	  3000	   415	1.698942678468949e-03	1.778279410038919e+02	5.874820441228956e+01
4.535000e+08	  3	  3000	  2643	1.812306150630985e-03	1.778279410038919e+02	5.880033886301945e+01
4.536000e+08	  3	  3000	   365	1.437710858652317e-03	1.778279410038919e+02	5.885313968344028e+01
4.537000e+08	  3	  3000	   351	2.077169274341798e-03	1.778279410038919e+02	5.890574098344481e+01
4.538000e+08	  3	  3000	   672	1.188072458660194e-03	1.778279410038919e+02	5.895814267824657e+01
4.539000e+08	  3	  3000	   544	1.089915689729984e-03	1.778279410038919e+02	5.901097669806699e+01
